,timestamp
98,2023-04-21 10:36:16.847000+00:00
99,2023-04-21 10:36:19.126000+00:00
100,2023-04-21 10:36:21.331000+00:00
101,2023-04-21 10:36:23.535000+00:00
102,2023-04-21 10:36:25.731000+00:00
103,2023-04-21 10:36:28.036000+00:00
104,2023-04-21 10:36:30.233000+00:00
105,2023-04-21 10:36:32.130000+00:00
106,2023-04-21 10:36:34.530000+00:00
107,2023-04-21 10:36:36.426000+00:00
108,2023-04-21 10:36:38.832000+00:00
109,2023-04-21 10:36:41.032000+00:00
110,2023-04-21 10:36:42.825000+00:00
111,2023-04-21 10:36:45.232000+00:00
112,2023-04-21 10:36:47.130000+00:00
113,2023-04-21 10:36:49.332000+00:00
114,2023-04-21 10:36:51.432000+00:00
115,2023-04-21 10:36:53.732000+00:00
116,2023-04-21 10:36:55.727000+00:00
117,2023-04-21 10:36:58.029000+00:00
118,2023-04-21 10:37:00.236000+00:00
119,2023-04-21 10:37:02.427000+00:00
120,2023-04-21 10:37:04.735000+00:00
121,2023-04-21 10:37:06.837000+00:00
122,2023-04-21 10:37:09.328000+00:00
123,2023-04-21 10:37:11.429000+00:00
124,2023-04-21 10:37:14.423000+00:00
125,2023-04-21 10:37:16.532000+00:00
126,2023-04-21 10:37:18.936000+00:00
127,2023-04-21 10:37:20.831000+00:00
128,2023-04-21 10:37:22.833000+00:00
129,2023-04-21 10:37:24.934000+00:00
130,2023-04-21 10:37:27.123000+00:00
131,2023-04-21 10:37:29.424000+00:00
132,2023-04-21 10:37:31.223000+00:00
133,2023-04-21 10:37:33.633000+00:00
134,2023-04-21 10:37:35.824000+00:00
135,2023-04-21 10:37:37.734000+00:00
136,2023-04-21 10:37:40.034000+00:00
137,2023-04-21 10:37:41.830000+00:00
138,2023-04-21 10:37:43.833000+00:00
139,2023-04-21 10:37:46.334000+00:00
140,2023-04-21 10:37:48.332000+00:00
141,2023-04-21 10:37:50.535000+00:00
142,2023-04-21 10:37:52.835000+00:00
143,2023-04-21 10:37:55.233000+00:00
144,2023-04-21 10:37:56.929000+00:00
145,2023-04-21 10:37:59.032000+00:00
146,2023-04-21 10:38:00.729000+00:00
147,2023-04-21 10:38:02.529000+00:00
148,2023-04-21 10:38:05.432000+00:00
149,2023-04-21 10:38:07.431000+00:00
150,2023-04-21 10:38:09.439000+00:00
151,2023-04-21 10:38:11.428000+00:00
152,2023-04-21 10:38:12.896000+00:00
153,2023-04-21 10:38:13.134000+00:00
154,2023-04-21 10:38:13.173000+00:00
155,2023-04-21 10:38:15.922000+00:00
156,2023-04-21 10:38:17.928000+00:00
157,2023-04-21 10:38:20.227000+00:00
158,2023-04-21 10:38:22.033000+00:00
159,2023-04-21 10:38:24.230000+00:00
